make,model,location,color,price_in_Ksh,year_of_manufacture,transmission,mileage_in_km,fuel,foreign_local,review_score
ford,focus,Nairobi,red,1000000,2012,Automatic,42000,Petrol,Local,3
honda,stream,Nairobi,black,950000,2011,Automatic,80000,Petrol,Local,4
bmw,535i,Nairobi,white,3800000,2013,Automatic,NA,Other,Foreign,3
bmw,320i,Nairobi,white,2500000,2012,Automatic,87000,Petrol,Foreign,3
toyota,passo,Nairobi,red,550000,2013,Automatic,60000,Petrol,Foreign,3
toyota,premio,Machakos,white,980000,2008,Automatic,118000,Petrol,Local,4.764705882352941
mercedes-benz,c180,Nairobi,silver,2170054,2013,Automatic,40000,Petrol,Foreign,3.6666666666666665
toyota,vitz,Nairobi,silver,560000,2011,Automatic,88300,Petrol,Local,4.733333333333333
subaru,wrx,Nairobi,white,1600000,2008,Manual,60000,Petrol,Local,3
toyota,land,Nairobi,green,5000000,2009,Manual,190000,Diesel,Local,4.555555555555555
subaru,forester,Nairobi,blue,1390000,2011,Manual,114000,Petrol,Local,4.636363636363637
mazda,demio,Nairobi,Not-specified,360000,2005,Automatic,99000,Petrol,Local,3.7142857142857144
toyota,rush,Nairobi,white,2900000,2019,Automatic,5000,Petrol,Local,3
toyota,premio,Nairobi,maroon,850000,2009,Automatic,90000,Petrol,Local,4.764705882352941
toyota,ist,Nairobi,Not-specified,800000,2008,Automatic,85650,Petrol,Local,3.3333333333333335
nissan,latio,Nairobi,silver,850000,2013,Automatic,19000,Petrol,Foreign,3
nissan,skyline,Mt,Not-specified,900000,2009,Automatic,118852,Petrol,Local,3
honda,cr-v,Nairobi,black,2300000,2013,Automatic,55000,Petrol,Foreign,4.333333333333333
mazda,demio,Mombasa,white,620000,2013,Automatic,65000,Petrol,Foreign,3.7142857142857144
audi,q5,Thika,Not-specified,1799000,2009,Automatic,61000,Petrol,Local,3
nissan,note,Nairobi,white,735000,2013,Automatic,103000,Petrol,Foreign,4.333333333333333
toyota,harrier,Mombasa,Not-specified,3300000,2014,Automatic,NA,Other,Foreign,4.6
honda,cr-v,Nairobi,pearl,2180000,2012,Automatic,73000,Petrol,Foreign,4.333333333333333
subaru,forester,Nairobi,maroon,1720000,2012,Automatic,47000,Petrol,Foreign,4.636363636363637
mitsubishi,outlander,Nairobi,pearl,2250000,2013,Automatic,35000,Hybrid,Foreign,3.5
toyota,allion,Nairobi,red,810000,2018,Automatic,100000,Diesel,Local,4.555555555555555
mazda,demio,Nairobi,Not-specified,580000,2012,Automatic,NA,Other,Foreign,3.7142857142857144
nissan,juke,Nairobi,Not-specified,1200000,2012,Unknown,NA,Other,Foreign,3
nissan,tiida,Nairobi,silver,850000,2013,Automatic,NA,Other,Foreign,4.428571428571429
mercedes-benz,e300,Nairobi,Not-specified,1800000,2008,Unknown,NA,Other,Local,3
subaru,legacy,Nairobi,silver,1300000,2012,Automatic,68000,Petrol,Local,4.666666666666667
mercedes-benz,e350,Nairobi,black,3500000,2012,Automatic,44015,Petrol,Foreign,3
toyota,land,Nairobi,white,3900000,2013,Manual,134000,Diesel,Local,4.555555555555555
nissan,march,Nairobi,silver,460000,2011,Automatic,114021,Petrol,Local,4.428571428571429
nissan,march,Nairobi,black,490000,2012,Automatic,114413,Petrol,Local,4.428571428571429
nissan,march,Nairobi,purple,520000,2012,Automatic,122216,Petrol,Local,4.428571428571429
nissan,march,Nairobi,purple,490000,2012,Automatic,110166,Petrol,Local,4.428571428571429
toyota,camry,Nairobi,black,1680000,2013,Automatic,53000,Petrol,Foreign,3.6666666666666665
volkswagen,golf,Nairobi,Not-specified,650000,2008,Automatic,112581,Petrol,Local,3.6
nissan,x-trail,Nairobi,white,850000,2007,Automatic,152000,Petrol,Local,3.75
mitsubishi,outlander,Nairobi,pearl,1940000,2012,Automatic,62000,Petrol,Foreign,3.5
mazda,cx-5,Nairobi,maroon,2100000,2013,Automatic,89000,Petrol,Foreign,3.3333333333333335
toyota,ractis,Nairobi,Not-specified,850000,2012,Automatic,34787,Other,Foreign,4.555555555555555
subaru,impreza,Nairobi,silver,1370000,2014,Automatic,84000,Petrol,Foreign,4.714285714285714
mitsubishi,pajero,Nairobi,silver,1200000,2005,Automatic,240000,Petrol,Local,4
toyota,vitz,Thika,purple,795000,2013,Automatic,NA,Petrol,Local,4.733333333333333
mercedes-benz,230e,Nairobi,silver,820000,1980,Manual,99999,Petrol,Local,3
subaru,wrx,Thika,maroon,520000,1998,Manual,178000,Petrol,Local,3
nissan,note,Nairobi,black,620000,2013,Automatic,68500,Petrol,Foreign,4.333333333333333
subaru,outback,Nairobi,white,980000,2006,Automatic,147000,Petrol,Local,4.2
nissan,x-trail,Nairobi,pearl,685000,2004,Automatic,142000,Petrol,Local,3.75
toyota,hilux,Mt,Not-specified,3200000,2019,Manual,4583,Diesel,Local,4.2
honda,insight,Nairobi,white,875000,2012,Automatic,85300,Hybrid,Local,3.3333333333333335
peugeot,3008,Nairobi,red,1499000,2012,Automatic,56000,Petrol,Foreign,3
peugeot,3008,Nairobi,white,1499000,2012,Automatic,38000,Petrol,Foreign,3
mercedes-benz,e250,Nairobi,silver,3100000,2012,Automatic,29000,Petrol,Foreign,3
honda,cr-v,Nairobi,Not-specified,2150000,2014,Automatic,NA,Diesel,Local,4.333333333333333
honda,crossroad,Nairobi,silver,800000,2008,Automatic,200500,Petrol,Local,3
volkswagen,jetta,Nairobi,Not-specified,1350000,2013,Unknown,NA,Petrol,Foreign,3.3333333333333335
suzuki,escudo,Nairobi,pearl,1900000,2011,Automatic,68000,Petrol,Local,3.5
volkswagen,jetta,Nairobi,grey,1350000,2013,Automatic,NA,Petrol,Foreign,3.3333333333333335
nissan,sylphy,Nairobi,Not-specified,1030000,2013,Automatic,76000,Petrol,Foreign,3
subaru,legacy,Nairobi,silver,1420000,2012,Automatic,130000,Petrol,Foreign,4.666666666666667
honda,insight,Nairobi,silver,649000,2012,Automatic,131000,Petrol,Local,3.3333333333333335
mitsubishi,galant,Nairobi,silver,1230000,2013,Automatic,NA,Petrol,Foreign,3.5
toyota,land,Nairobi,white,2800000,2007,Automatic,130000,Petrol,Local,4.555555555555555
toyota,rav4,Nairobi,white,1250000,2007,Automatic,NA,Petrol,Local,3
nissan,elgrand,Nairobi,pearl,900000,2010,Automatic,125442,Petrol,Local,3
ford,ranger,Nairobi,black,3970000,2014,Automatic,86000,Diesel,Foreign,4
mitsubishi,pajero,Mombasa,white,2300000,2008,Automatic,NA,Petrol,Local,4
nissan,tiida,Nairobi,silver,550000,2011,Automatic,114653,Petrol,Local,4.428571428571429
nissan,x-trail,Nairobi,blue,1000000,2008,Automatic,133391,Petrol,Local,3.75
