,make,price,details
3825,  2013 Nissan Note     5 (4 Reviews)   ," KSh750,000 ",  Nakuru  Automatic  Black 100898 km   Foreign Used 2013 Petrol 
3826,  2010 Toyota Harrier     5 (8 Reviews)   ," KSh1,400,000 ",  Nairobi  Automatic  Black 177000 km   Locally Used 2010 Petrol 
3827,  2013 Nissan Note     5 (4 Reviews)   ," KSh660,000 ",  Nairobi  Automatic  White 53000 km   Foreign Used 2013 Petrol 
3828,  2013 Mitsubishi RVR     3 (1 Review)   ," KSh1,730,000 ",  Mombasa  Automatic  Grey 98000 km   Foreign Used 2013 Petrol 
3829,  2013 Mazda CX-5     4 (1 Review)   ," KSh2,100,000 ",  Nairobi  Automatic  Black 67000 km   Foreign Used 2013 Petrol 
3830,  2013 Toyota Allion     5 (7 Reviews)   ," KSh1,330,000 ",  Mombasa  Automatic  Black 92000 km   Foreign Used 2013 Petrol 
3831,  2013 Nissan Note 1.4     5 (4 Reviews)   ," KSh790,000 ",  Nairobi  Automatic  Maroon 72000 km   Foreign Used 2013 Petrol 
3832,  2015 Toyota Fortuner 3.0 D-4D 4x4     5 (2 Reviews)   ," KSh6,000,000 ",  Mombasa  Automatic  Black 39000 km   Foreign Used 2015 Petrol 
3833,  2013 Nissan X-Trail Automatic     4 (6 Reviews)   ," KSh1,600,000 ",  Mombasa  Automatic  Black 38 km   Foreign Used 2013 Petrol 
3834,  2014 Mazda CX-5 AWD     4 (1 Review)   ," KSh1,900,000 ",  Mombasa  Automatic  Black 35000 km   Foreign Used 2014 Diesel 
3835,  2014 Toyota Fielder     5 (8 Reviews)   ," KSh1,100,000 ",  Mombasa  Automatic  Black 63000 km   Foreign Used 2014 Petrol 
3836,  2016 Land Rover Range Rover Vogue Autobiography  ," KSh14,000,000 ",  Mombasa  Automatic  Other 42000 km   Foreign Used 2016 Diesel 
3837,  2015 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh4,600,000 ",  Mombasa  Automatic  Black 32000 km   Foreign Used 2015 Petrol 
3838,  2014 Subaru Forester 2.5 XT Automatic     5 (9 Reviews)   ," KSh2,800,000 ",  Mombasa  Automatic  Black 32000 km   Foreign Used 2014 Petrol 
3839,  2014 Toyota Hilux 4.0 V6 Double Cab 4x4 Raider     5 (3 Reviews)   ," KSh3,300,000 ",  Mombasa  Manual  Dark Green 5300 km   Foreign Used 2014 Diesel 
3840,  2014 Subaru XV 2.0i-S Eyesight  ," KSh1,800,000 ",  Mombasa  Automatic  Silver 4100 km   Foreign Used 2014 Petrol 
3841,  2012 Mercedes-Benz ML350  ," KSh4,950,000 ",  Nairobi  Automatic  Silver 65000 km   Locally Used 2012 Petrol 
3842,  2012 Toyota Vanguard     4 (1 Review)   ," KSh2,550,000 ",  Nairobi  Automatic  Black 60053 km   Foreign Used 2012 Petrol 
3843,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,300,000 ",  Nairobi  Automatic  Dark Blue Foreign Used 2013 Petrol 
3844,  2016 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh6,850,000 ",  Nairobi  Automatic  Black 93269 km   Foreign Used 2016 Diesel 
3845,  2012 Toyota Mark X     5 (6 Reviews)   ," KSh1,700,000 ",  Nairobi  Automatic  Black 80158 km   Foreign Used 2012 Petrol 
3846,   2012 Toyota Allion A15     5 (7 Reviews)   ," KSh1,600,000 ",  Nairobi  Automatic  Silver 38802 km   Foreign Used 2012 Petrol 
3847,  2012 Toyota Vitz     5 (13 Reviews)   ," KSh790,000 ",  Mombasa  Automatic  Black 39000 km   Foreign Used 2012 Petrol 
3848,  2012 Nissan Dualis     5 (1 Review)   ," KSh1,300,000 ",  Nairobi  Automatic  Blue 77000 km   Foreign Used 2012 Petrol 
3849,  2013 Toyota Passo  ," KSh600,000 ",  Mombasa  Automatic  Silver 87434 km   Foreign Used 2013 Petrol 
3850,  2013 Nissan March     5 (5 Reviews)   ," KSh570,000 ",  Mombasa  Automatic  White 79000 km   Foreign Used 2013 Petrol 
3851,  2012 Mercedes-Benz E350  ," KSh3,500,000 ",  Nairobi  Automatic  White 51000 km   Foreign Used 2012 Petrol 
3852,  2015 Toyota Land Cruiser Prado TX-L     4 (3 Reviews)   ," KSh5,590,000 ",  Nairobi  Automatic  Silver 29000 km   Foreign Used 2015 Petrol 
3853,  2013 Honda Fit Fit Sport     5 (10 Reviews)   ," KSh730,000 ",  Mombasa  Automatic  Silver 78000 km   Foreign Used 2013 Petrol 
3854,  2013  Honda Fit     5 (10 Reviews)   ," KSh760,000 ",  Mombasa  Automatic  Silver 50000 km   Foreign Used 2013 Petrol 
3855,  2013 Honda Fit Sport     5 (10 Reviews)   ," KSh780,000 ",  Mombasa  Automatic  Silver 97000 km   Foreign Used 2013 Hybrid 
3856,  2012 Nissan Wingroad     4 (10 Reviews)   ," KSh750,000 ",  Eldoret  Automatic  Silver Foreign Used 2012 Petrol 
3857,  2013 Toyota Auris     5 (4 Reviews)   ," KSh1,250,000 ",  Mombasa  Automatic  Black 45000 km   Foreign Used 2013 Petrol 
3858,  2013 Daihatsu Mira  ," KSh520,000 ",  Mombasa  Automatic  Dark Blue 74300 km   Foreign Used 2013 Petrol 
3859,  2012 Toyota Fielder     5 (8 Reviews)   ,--,  Eldoret  Automatic  Black Foreign Used 2012 Petrol 
3860,  2012 Mitsubishi Pajero     5 (2 Reviews)   ," KSh2,900,000 ",  Nairobi  Automatic  Black 101000 km   Foreign Used 2012 Diesel 
3861,  2013 Nissan Sylphy  ," KSh900,000 ",  Mombasa  Automatic  Black 68000 km   Foreign Used 2013 Petrol 
3862,  2013 Nissan Serena 2.0 SLX  ," KSh1,120,000 ",  Mombasa  Automatic  White 94000 km   Foreign Used 2013 Hybrid 
3863,  2013 Mitsubishi Mirage  ," KSh500,000 ",  Nairobi  Automatic  Silver 183000 km   Foreign Used 2013 Petrol 
3864,  2013 Toyota Allion     5 (7 Reviews)   ," KSh1,400,000 ",  Mombasa  Automatic  Black 63000 km   Foreign Used 2013 Petrol 
3865,  2013 Toyota Vitz 1.3 U     5 (13 Reviews)   ," KSh800,000 ",  Mombasa  Automatic  Other 97000 km   Foreign Used 2013 Petrol 
3866,   2013 Subaru Outback 2.5     5 (3 Reviews)   ," KSh2,250,000 ",  Nairobi  Automatic  Pearl 108000 km   Foreign Used 2013 Petrol 
3867,  2013 Toyota Passo  ," KSh630,000 ",  Eldoret  Automatic  Other Foreign Used 2013 Petrol 
3868,  2013 Mazda Demio 1.3     4 (5 Reviews)   ," KSh680,000 ",  Mombasa  Automatic  Maroon 73000 km   Foreign Used 2013 Petrol 
3869,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,050,000 ",  Mombasa  Automatic  Silver 67000 km   Foreign Used 2013 Petrol 
3870,  2012 Toyota Voxy     4 (2 Reviews)   ," KSh1,380,000 ",  Nairobi  Automatic  Black 163376 km   Foreign Used 2012 Petrol 
3871,  2013 Toyota Axio     4 (3 Reviews)   ," KSh1,150,000 ",  Mombasa  Automatic  Blue 68000 km   Foreign Used 2013 Hybrid 
3872,  2013 Toyota Fielder     5 (8 Reviews)   ," KSh1,300,000 ",  Mombasa  Automatic  Black 73000 km   Foreign Used 2013 Petrol 
3873,  2010 Toyota Land Cruiser Prado     4 (3 Reviews)   ," KSh3,600,000 ",  Nairobi  Automatic  Silver 49054 km   Foreign Used 2010 Petrol 
3874,  2012 Toyota Land Cruiser VDJ200R     5 (7 Reviews)   ," KSh7,950,000 ",  Mombasa  Automatic  White 65200 km   Foreign Used 2012 
3875,  2013 Toyota Mark X     5 (6 Reviews)   ," KSh1,900,000 ",  Mombasa  Automatic  White 96000 km   Foreign Used 2013 Petrol 
3876,  2013 Toyota Hilux     5 (3 Reviews)   ," KSh2,350,000 ",  Mombasa  Manual  Silver 98227 km   Foreign Used 2013 Diesel 
3877,  2012 Toyota RAV4     5 (6 Reviews)   ," KSh2,150,000 ",  Mombasa  Automatic  Red 72253 km   Foreign Used 2012 Petrol 
3878,  2013 Mazda CX-5 AWD     4 (1 Review)   ," KSh1,900,000 ",  Mombasa  Automatic  Grey 102362 km   Foreign Used 2013 Diesel 
3879,  2013 Audi A4 2.0T Premium Quattro Automatic     4 (1 Review)   ," KSh2,300,000 ",  Mombasa  Automatic  White 70092 km   Foreign Used 2013 Petrol 
3880,  2013 Audi A4 2.0T Premium Quattro Automatic     4 (1 Review)   ," KSh2,300,000 ",  Mombasa  Automatic  White 70092 km   Foreign Used 2013 Petrol 
3881,  2013 Honda CR-V 2.0     5 (4 Reviews)   ," KSh2,300,000 ",  Mombasa  Automatic  Black 57236 km   Foreign Used 2013 Petrol 
